رقم المحضر,اسم الجامع/مسجد,الموقع,تاريخ الزيارة (هجري),التاريخ الميلادي (تقريبي),المسببات,الإجراء المتخذ,رقم عداد الكهرباء,نوع المخالفة,Unnamed: 9
157,مسجد العبدلية,هجرةالعبدليةحريملاء,06/02/1447,31/07/2025,تعدي كهرباء من قبل بيت,تمت المعالجة,ECC2020811090526,تعدي للكهرباء,
158,جامع عبدالله بن مسعود,حريملاء-مركز البره,06/02/1447,31/07/2025,تعدي كهرباء عامود انارة,تمت المعالجة,KFM2120660284447,تعدي للكهرباء,
159,جامع العرنوس,حريملاء,07/02/1447,1/8/2025,ارتباط دار نسائية,تمت المعالجة,KFM2120660240920,استغلال مرفق,
160,جامع العجمي,حريملاء,07/02/1447,1/8/2025,تعدي كهرباء ملك خاص,تمت المعالجة,SMR2320661022934,تعدي للكهرباء,
161,مسجد الربوة,وادي عصيل – الرويضة,02/02/1447,27/07/2025,تعدي بيت,تمت المعالجة,AES2120896586369,تعدي للكهرباء,
162,جامع وادي عصيل,وادي عصيل-الرويضة,02/02/1447,27/07/2025,اكباس – تكييف عدم اغلاق الجامع,تمت المعالجة,KFM2020660192488,تشغيل مكيفات او انارة خارج اوقات الصلاة,
163,مسجد محمد الهويمل,القويعية,02/02/1447,27/07/2025,تعدي كهباء من قبل استراحه,تمت المعالجة,AEC2020830325385,تعدي للكهرباء,
164,مسجد ال طراد,الفويلق -القويعية,29/01/1447,24/07/2025,تعدي كهرباء بيت,تمت المعالجة,AES2020896158806,تعدي للكهرباء,
165,مسجد نايف العتيبي,المزاحمية,28/01/1447,23/07/2025,تعدي كهرباء مزرعة,تمت المعالجة,KFM2020760203347,تعدي للكهرباء,
166,مسجد يقع في مزرعة,الجلة القويعية,02/02/1447,27/07/2025,تعدي كهرباء مزرعة,تمت المعالجة,AEC2020830568665,تعدي للكهرباء,
167,مصلى العيد,القويعية,29/01/1447,24/07/2025,تعدي كهرباء حديقة,تمت المعالجة,SMR2020850089100,تعدي للكهرباء,
168,عثمان بن عفان,القويعية,29/01/1447,24/07/2025,تشغيل مكيفات – استغلال مرفق – انارات,تمت المعالجة,KFM2120660241031,استغلال مرفق,
169,جامع ال مليسان,الجلة القويعية,28/01/1447,23/07/2025,استغلال مرفق – تشغيل مكيفات,تمت المعالجة,KFM2020660227533,استغلال مرفق,
